"ТОС";"slug";"населённый пункт";"председатель";"приоритет";"заполненность";"что уточнить";"рекомендации";"карточка";"форма обновления";"короткое сообщение"
"Порт Артур";"port-artur";"с. Чигорак";"Водяной Сергей Александрович";"Средний";"69";"Email, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/port-artur/";"https://tosborisoglebsk.ru/update-tos/?tos=port-artur&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Порт Артур»: Email, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Просторный";"prostornyy";"г. Борисоглебск";"Докучаева Татьяна Сергеевна";"Средний";"69";"Email, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/prostornyy/";"https://tosborisoglebsk.ru/update-tos/?tos=prostornyy&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Просторный»: Email, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Уютный";"uyutnyy";"г. Борисоглебск";"Ковтун Алексей Вадимович";"Средний";"69";"Email, Логотип, Новости, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/uyutnyy/";"https://tosborisoglebsk.ru/update-tos/?tos=uyutnyy&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Уютный»: Email, Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Миролюбие";"mirolyubie";"п. Миролюбие";"Власова Татьяна Владимировна";"Низкий";"75";"Email, Логотип, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/mirolyubie/";"https://tosborisoglebsk.ru/update-tos/?tos=mirolyubie&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Миролюбие»: Email, Логотип, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Петровское";"petrovskoe";"с. Петровское";"Ремизова Любовь Викторовна";"Низкий";"75";"Email, Логотип, Истории результата, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/petrovskoe/";"https://tosborisoglebsk.ru/update-tos/?tos=petrovskoe&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Петровское»: Email, Логотип, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Победа";"pobeda";"г. Борисоглебск";"Писклова Татьяна Петровна";"Средний";"75";"Логотип, Новости, Истории результата, Потребности";"подготовить логотип или временный знак ТОС; заменить запрос материалов содержательной новостью или фотоотчётом; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/pobeda/";"https://tosborisoglebsk.ru/update-tos/?tos=pobeda&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Победа»: Логотип, Новости, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Богана";"bogana";"с. Богана";"Лопатина Мария Владимировна";"Низкий";"81";"Логотип, Истории результата, Потребности";"подготовить логотип или временный знак ТОС; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/bogana/";"https://tosborisoglebsk.ru/update-tos/?tos=bogana&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Богана»: Логотип, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Маяк";"mayak";"с. Чигорак";"Бачурина Ольга Александровна";"Низкий";"81";"Email, Логотип, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/mayak/";"https://tosborisoglebsk.ru/update-tos/?tos=mayak&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Маяк»: Email, Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Третьяки";"tretyaki";"с. Третьяки";"Хмаров Сергей Александрович";"Низкий";"81";"Email, Логотип, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/tretyaki/";"https://tosborisoglebsk.ru/update-tos/?tos=tretyaki&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Третьяки»: Email, Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Ульяновка";"ulyanovka";"с. Ульяновка";"Габрусенко Олеся Степановна";"Низкий";"81";"Логотип, Истории результата, Потребности";"подготовить логотип или временный знак ТОС; заменить заготовку подтверждённой историей результата; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/ulyanovka/";"https://tosborisoglebsk.ru/update-tos/?tos=ulyanovka&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Ульяновка»: Логотип, Истории результата, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Чкаловец";"chkalovec";"г. Борисоглебск";"Сотниченко Ирина Алексеевна";"Низкий";"81";"Email, Логотип, Потребности";"добавить email для связи; подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/chkalovec/";"https://tosborisoglebsk.ru/update-tos/?tos=chkalovec&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Чкаловец»: Email, Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Восточный";"vostochnyy";"г. Борисоглебск";"Рогова Ольга Анатольевна";"Низкий";"88";"Логотип, Потребности";"подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/vostochnyy/";"https://tosborisoglebsk.ru/update-tos/?tos=vostochnyy&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Восточный»: Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Махровка";"mahrovka";"с. Махровка";"Пущина Ирина Валерьевна";"Низкий";"88";"Логотип, Потребности";"подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/mahrovka/";"https://tosborisoglebsk.ru/update-tos/?tos=mahrovka&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Махровка»: Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
"Северный 39";"severnyy-39";"г. Борисоглебск";"Никулина Юлия Александровна";"Низкий";"88";"Логотип, Потребности";"подготовить логотип или временный знак ТОС; уточнить и подтвердить реальную актуальную потребность территории";"https://tosborisoglebsk.ru/tos/severnyy-39/";"https://tosborisoglebsk.ru/update-tos/?tos=severnyy-39&type=card#message-builder";"Здравствуйте. Для портала ТОС БГО нужно уточнить карточку ТОС «Северный 39»: Логотип, Потребности. Просим прислать только сведения, которые можно публиковать открыто."
