discovery_id,discovered_date,source_date,source_name,source_url,candidate_type,tos_names,fact_summary,source_level,reuse_permission,status,blocker,next_step
find-011,2026-09-03,2021-10-28,РИА Воронеж,https://riavrn.ru/news/vuezdnuyu-stelu-ustanovili-obshestvenniki-v-borisoglebskom-sele-tancyrej/,archive_candidate,Танцырей,"публикация от 28 октября подтверждает завершение 25 октября проекта въездной стелы: областной грант 173 тыс. рублей плюс около 50 тыс. рублей жителей и спонсоров; упоминает более ранние общественные проекты территории",secondary,"использовать собственный пересказ фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",official_confirmation_required,"исторический источник расходится с текущей карточкой портала по году создания численности и данным о руководстве; автоматическая замена запрещена","опубликовать source-backed историю проекта отдельно; запросить актуальное подтверждение года создания председателя численности и границ ТОС"
find-012,2026-09-03,2024-12-19,РИА Воронеж,https://riavrn.ru/news/v-borisoglebskom-poselke-kalinino-na-pustyre-poyavilas-pervaya-detskaya-ploshadka/,archive_candidate,Калинка,"публикация подтверждает реализацию проекта Территория детского здоровья: областной грант более 800 тыс. рублей и 50 тыс. рублей собственных средств жителей; также подтверждает более ранний проект Колодец душа поселка",secondary,"использовать собственный пересказ фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник подтверждает историю проектов но не используется для автоматической верификации персональных контактов карточки","создать первый source-backed материал Калинки; сохранить персональные реквизиты карточки в действующем статусе проверки"
find-013,2026-09-03,2023-09-04,РИА Воронеж,https://riavrn.ru/news/v-borisoglebskom-sele-bogana-postroili-universalnuyu-sportploshadku/,archive_candidate,Богана,"публикация подтверждает открытие универсальной спортивной площадки площадью более 900 кв. м: областной грант более 940 тыс. рублей, 156 тыс. рублей вклад жителей и около 400 тыс. рублей спонсоров; также перечисляет ряд более ранних проектов ТОС",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",official_confirmation_required,"исторический источник содержит сведения о руководстве ТОС на 2023 год, которые не следует переносить в актуальную карточку без прямого или официального подтверждения","создать source-backed архивную новость о спортплощадке; сохранить персональные поля карточки в текущем статусе проверки и отдельно запросить актуальное подтверждение руководства"
find-014,2026-09-04,2023-11-07,РИА Воронеж,https://riavrn.ru/news/vuezdnuyu-stelu-ustanovili-v-borisoglebskom-sele-mahrovka/,archive_candidate,Махровка,"публикация подтверждает установку въездной стелы: грант 499 тыс. рублей АНО Образ будущего, 150 тыс. рублей вклад спонсора и 50 тыс. рублей жителей; также перечисляет газификацию села и несколько более ранних проектов ТОС",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",official_confirmation_required,"источник отражает ноябрь 2023 года и содержит исторические сведения о председателе, численности и составе ТОС; их нельзя автоматически считать актуальными","перевести существующую редакционную новость Махровки в source-backed архивный материал без изменения текущих персональных полей карточки"
find-015,2026-09-04,2025-05-20,РИА Воронеж,https://riavrn.ru/news/edinstvo-i-polza-mayaka-kak-aktivisty-voronezhskogo-tosa-blagoustraivayut-svoe-selo/,archive_candidate,Маяк,"публикация подтверждает детскую площадку Дворик детства, обустроенную осенью 2024 года после победы в областном конкурсе общественно полезных проектов ТОС, и проект 2022 года по благоустройству четырех площадок для сбора отходов",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник содержит сведения о численности, руководстве и составе ТОС по состоянию на май 2025 года и не подтверждает их актуальность на текущую дату","создать первый source-backed материал ТОС Маяк о подтвержденных проектах; текущие персональные поля карточки не менять без свежего прямого или официального подтверждения"
find-016,2026-09-04,2023-08-24,РИА Воронеж,https://riavrn.ru/news/v-borisoglebskom-sele-petrovskoe-otremontirovali-vodozabornuyu-skvazhinu/,archive_candidate,Петровское,"публикация подтверждает полный ремонт водозаборной скважины №1: грант более 460 тыс. рублей и 56 тыс. рублей вклада жителей и спонсоров; заменены 36 м труб фильтры насос и станция управления и защиты",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник отражает август 2023 года и не подтверждает актуальность персональных данных и численности карточки; проект не связан автоматически с отдельной инициативой конкурса 2026 года","создать первый source-backed материал Петровского о ремонте скважины; текущие персональные поля карточки и статус проекта 2026 года не менять без свежего прямого или официального подтверждения"
find-017,2026-09-04,2020-05-18,РИА Воронеж,https://riavrn.ru/news/v-borisoglebske-aktivisty-svoimi-silami-blagoustroili-territoriyu-mikrorayona/,archive_candidate,Восточный,"публикация подтверждает четыре субботника и благоустройство общественной зоны между улицами Весенней и Объездной: расчистку аллеи уборку мусора установку лавок урны спортивного комплекса и песочницы за собственные средства жителей",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник отражает май 2020 года и содержит исторические сведения о руководстве и составе ТОС; они не подтверждают актуальные паспортные поля карточки","перевести существующую редакционную новость Восточного в source-backed архивный материал без изменения текущих персональных данных карточки"
find-018,2026-09-04,2020-06-01,РИА Воронеж,https://riavrn.ru/news/v-borisoglebske-aktivisty-tos-vostochnyy-napravili-na-remont-dorogi-bolee-400-tys-rubley-/,archive_candidate,Восточный,"публикация подтверждает благоустройство 200 м дороги на улице Бориса и Глеба и в проезде Бирюзовом; финансирование составило 371 тыс. рублей гранта 12 тыс. рублей спонсора и 49 тыс. рублей жителей",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник отражает июнь 2020 года и не используется для автоматической верификации текущего председателя контактов численности или границ ТОС","использовать как второй источник существующего source-backed материала Восточного и сохранить текущую карточку в действующем verification-статусе"
find-019,2026-09-04,2021-09-21,РИА Воронеж,https://riavrn.ru/news/na-detskoj-ploshadke-v-mikrorajone-borisoglebska-ustanovili-novoe-igrovoe-oborudovanie/,archive_candidate,Северный 39,"публикация подтверждает второй грант 414 тыс. рублей на игровое оборудование и первый грант 2018 года 400 тыс. рублей; перечислены установленные игровые и спортивные элементы",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник отражает сентябрь 2021 года и содержит исторические сведения о руководстве и составе ТОС; они не подтверждают актуальные паспортные поля карточки","создать source-backed архивную новость о двух этапах благоустройства площадки; текущие персональные поля карточки не менять без свежего прямого или официального подтверждения"
find-020,2026-09-04,2020-09-21,РИА Воронеж,https://riavrn.ru/news/v-borisoglebskom-sele-ulyanovka-postroili-sportploshchadku-za-2-8-mln-rubley/,archive_candidate,Ульяновка,"публикация подтверждает строительство спортплощадки 800 кв. м стоимостью около 2,8 млн рублей: около 900 тыс. рублей грант ТОС 1,6 млн местный бюджет 300 тыс. грант Лучшая практика ТОС 2019 и около 50 тыс. жителей",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник отражает сентябрь 2020 года и содержит исторические сведения о годе создания и численности ТОС; они не подтверждают актуальные паспортные поля карточки","создать source-backed архивную новость о спортплощадке; текущие персональные поля карточки не менять без свежего прямого или официального подтверждения"
find-021,2026-09-04,2019-10-03,РИА Воронеж,https://riavrn.ru/news/borisoglebskiy-tos-zanyal-2-e-mesto-na-vserossiyskom-konkurse/,archive_candidate,Ульяновка,"публикация подтверждает второе место ТОС Ульяновка во Всероссийском конкурсе Лучшая практика ТОС 2019 за проект клуба ЗОЖ Импульс; проект реализован в 2017 году на грант около 300 тыс. рублей с ремонтом помещения бывшей библиотеки и закупкой тренажеров",secondary,"использовать собственный пересказ проверяемых фактов с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник исторический и не подтверждает актуальные персональные реквизиты карточки","использовать как дополнительный источник source-backed материала Ульяновки; не менять текущие персональные данные карточки"
find-022,2026-09-04,2021-10-27,Блокнот Борисоглебск,https://bloknotborisoglebsk.ru/news/v-sele-pod-borisoglebskom-postavili-novyy-vezdnoy--1407840,archive_candidate,Ивановка,"публикация перечисляет ТОС Ивановка среди 22 победителей конкурса общественно полезных инициатив 2021 года и указывает проект устройства уличного освещения",secondary,"использовать собственный пересказ проверяемого конкурсного факта с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник подтверждает победу и название проекта но не подтверждает завершение работ и не верифицирует актуальные персональные поля карточки","создать source-backed архивную новость о конкурсном результате; не утверждать завершение освещения без отдельного источника и не менять текущие контакты или председателя"
find-023,2026-09-04,2021-10-27,Блокнот Борисоглебск,https://bloknotborisoglebsk.ru/news/v-sele-pod-borisoglebskom-postavili-novyy-vezdnoy--1407840,archive_candidate,Подстёпки,"публикация перечисляет ТОС Подстёпки среди 22 победителей конкурса общественно полезных инициатив 2021 года и указывает проект устройства ограждения кладбища",secondary,"использовать собственный пересказ проверяемого конкурсного факта с атрибуцией; текст и фотографии не копировать без отдельного разрешения",result_source_found,"источник подтверждает победу и название проекта но не подтверждает завершение работ и не верифицирует актуальные персональные поля карточки","создать source-backed архивную новость о конкурсном результате; не утверждать завершение ограждения без отдельного источника и не менять текущие контакты или председателя"
